Catagory,Symbol,Name,Previous Close,Open,Volume,Market Cap
Most Actives,GE,General Electric Co,11.16,11.00,"64,019,625",95.982B
Most Actives,BAC,Bank of America Corp,33.43,32.87,"57,285,655",295.399B
Most Actives,AMD,Advanced Micro Devices Inc,38.73,37.34,"52,991,201",44.292B
Most Actives,F,Ford Motor Co,9.01,8.95,"38,213,209",35.248B
Most Actives,FCX,Freeport-McMoRan Inc,11.45,11.04,"29,119,345",15.844B
Most Actives,AAPL,Apple Inc,264.16,258.31,"29,377,268",1.173T
Most Actives,INTC,Intel Corp,57.66,56.86,"26,613,647",243.905B
Most Actives,BMY,Bristol-Myers Squibb Co,57.41,57.00,"11,678,071",135.377B
Most Actives,WFC,Wells Fargo & Co,53.62,53.01,"24,518,031",222.38B
Most Actives,MSFT,Microsoft Corp,149.55,147.49,"25,192,145",1.139T
Gainers,CCI,Crown Castle International Corp,130.95,131.16,"1,915,681",55.775B
Gainers,DXC,DXC Technology Co,36.06,35.06,"4,986,311",9.446B
Gainers,TTWO,Take-Two Interactive Software Inc,120.73,118.93,"1,689,230",13.954B
Gainers,SLG,SL Green Realty Corp,84.31,84.29,"858,652",6.876B
Gainers,NEM,Newmont Goldcorp Corp,38.74,39.03,"9,232,530",32.285B
Gainers,PEAK,Healthpeak Properties Inc,33.83,33.89,"3,103,615",17.017B
Gainers,EXR,Extra Space Storage Inc,104.61,104.91,"782,589",13.759B
Gainers,PSA,Public Storage,209.03,209.92,"970,777",37.022B
Gainers,NRG,NRG Energy Inc,39.86,39.77,"3,429,514",10.167B
Gainers,VNO,Vornado Realty Trust,63.37,63.19,"987,207",12.258B
Losers,APA,Apache Corp,19.54,19.25,"15,089,803",6.912B
Losers,UNM,Unum Group,30.48,29.90,"2,296,475",5.969B
Losers,XEC,Cimarex Energy Co,47.66,46.93,"2,164,672",4.623B
Losers,FCX,Freeport-McMoRan Inc,11.45,11.04,"29,119,345",15.844B
Losers,LB,L Brands Inc,18.16,17.78,"7,339,290",4.79B
Losers,CPRI,Capri Holdings Ltd,36.45,35.56,"2,872,874",5.284B
Losers,FDX,FedEx Corp,158.03,154.22,"3,643,288",39.434B
Losers,LNC,Lincoln National Corp,58.58,57.27,"1,942,834",11.136B
Losers,TPR,Tapestry Inc,25.89,25.19,"5,748,303",6.851B
Losers,NOV,National Oilwell Varco Inc,23.05,22.53,"5,102,335",8.531B
